login,type,html_url,avatar_url,repository_count,total_contributions
jatoledo,User,https://github.com/jatoledo,https://avatars.githubusercontent.com/u/18296979?v=4,2,24
dachafra,User,https://github.com/dachafra,https://avatars.githubusercontent.com/u/12400271?v=4,2,22
isaacnoya,User,https://github.com/isaacnoya,https://avatars.githubusercontent.com/u/20664313?v=4,2,21
ClarkWang0519,User,https://github.com/ClarkWang0519,https://avatars.githubusercontent.com/u/48079420?v=4,1,21
Oppenheimer22,User,https://github.com/Oppenheimer22,https://avatars.githubusercontent.com/u/113797150?v=4,2,21
bacachoddy,User,https://github.com/bacachoddy,https://avatars.githubusercontent.com/u/231927355?v=4,1,19
jarueda-oeg,User,https://github.com/jarueda-oeg,https://avatars.githubusercontent.com/u/244983063?v=4,1,19
W-Free,User,https://github.com/W-Free,https://avatars.githubusercontent.com/u/115725053?v=4,1,19
jgeluk,User,https://github.com/jgeluk,https://avatars.githubusercontent.com/u/864726?v=4,1,18
Zack-83,User,https://github.com/Zack-83,https://avatars.githubusercontent.com/u/37865804?v=4,1,18
javilecrin,User,https://github.com/javilecrin,https://avatars.githubusercontent.com/u/14923314?v=4,1,18
vChavezB,User,https://github.com/vChavezB,https://avatars.githubusercontent.com/u/47216966?v=4,1,16
cbadenes,User,https://github.com/cbadenes,https://avatars.githubusercontent.com/u/1592973?v=4,2,15
ahmad88me,User,https://github.com/ahmad88me,https://avatars.githubusercontent.com/u/6922709?v=4,1,15
OnToologyUser,User,https://github.com/OnToologyUser,https://avatars.githubusercontent.com/u/11507979?v=4,2,15
binfalse,User,https://github.com/binfalse,https://avatars.githubusercontent.com/u/1564898?v=4,1,13
TheRazorace,User,https://github.com/TheRazorace,https://avatars.githubusercontent.com/u/49875599?v=4,1,13
renefritze,User,https://github.com/renefritze,https://avatars.githubusercontent.com/u/47802?v=4,1,12
almudenaris,User,https://github.com/almudenaris,https://avatars.githubusercontent.com/u/3510896?v=4,1,11
kalili99,User,https://github.com/kalili99,https://avatars.githubusercontent.com/u/33469177?v=4,1,11
ralcazar-oeg,User,https://github.com/ralcazar-oeg,https://avatars.githubusercontent.com/u/23639873?v=4,2,11
alberto-upm,User,https://github.com/alberto-upm,https://avatars.githubusercontent.com/u/123464939?v=4,1,11
paula-diez,User,https://github.com/paula-diez,https://avatars.githubusercontent.com/u/137040966?v=4,2,11
salvadormartinezmoreno-hub,User,https://github.com/salvadormartinezmoreno-hub,https://avatars.githubusercontent.com/u/270402084?v=4,2,11
pmcb55,User,https://github.com/pmcb55,https://avatars.githubusercontent.com/u/961445?v=4,1,9
LuciaCabanillasRodriguez,User,https://github.com/LuciaCabanillasRodriguez,https://avatars.githubusercontent.com/u/147805983?v=4,1,9
sanmai-NL,User,https://github.com/sanmai-NL,https://avatars.githubusercontent.com/u/3374183?v=4,1,8
seralf,User,https://github.com/seralf,https://avatars.githubusercontent.com/u/88188?v=4,1,7
StephaneBranly,User,https://github.com/StephaneBranly,https://avatars.githubusercontent.com/u/51955833?v=4,1,7
paguilomanas,User,https://github.com/paguilomanas,https://avatars.githubusercontent.com/u/118525517?v=4,1,7
carlos-ruiz-moreno,User,https://github.com/carlos-ruiz-moreno,https://avatars.githubusercontent.com/u/4263214?v=4,1,7
SPabloCalleja,User,https://github.com/SPabloCalleja,https://avatars.githubusercontent.com/u/2526093?v=4,3,7
janvlug,User,https://github.com/janvlug,https://avatars.githubusercontent.com/u/5903208?v=4,1,6
kartgk,User,https://github.com/kartgk,https://avatars.githubusercontent.com/u/12909601?v=4,1,5
neeohw,User,https://github.com/neeohw,https://avatars.githubusercontent.com/u/557168?v=4,1,5
JorgeRianho,User,https://github.com/JorgeRianho,https://avatars.githubusercontent.com/u/235647082?v=4,1,5
julianvz6,User,https://github.com/julianvz6,https://avatars.githubusercontent.com/u/88210875?v=4,1,5
lapkinvladimir,User,https://github.com/lapkinvladimir,https://avatars.githubusercontent.com/u/128398343?v=4,1,5
OzzyTao,User,https://github.com/OzzyTao,https://avatars.githubusercontent.com/u/5325577?v=4,1,4
mielvds,User,https://github.com/mielvds,https://avatars.githubusercontent.com/u/1032980?v=4,1,4
pmchozas,User,https://github.com/pmchozas,https://avatars.githubusercontent.com/u/37108648?v=4,1,4
ccamel,User,https://github.com/ccamel,https://avatars.githubusercontent.com/u/9574336?v=4,1,3
MikiDi,User,https://github.com/MikiDi,https://avatars.githubusercontent.com/u/9383603?v=4,1,3
SirkoS,User,https://github.com/SirkoS,https://avatars.githubusercontent.com/u/19189391?v=4,1,3
rpietzsch,User,https://github.com/rpietzsch,https://avatars.githubusercontent.com/u/6573478?v=4,1,2
ioggstream,User,https://github.com/ioggstream,https://avatars.githubusercontent.com/u/1140844?v=4,1,2
paulmillar,User,https://github.com/paulmillar,https://avatars.githubusercontent.com/u/533081?v=4,1,2
marioscrock,User,https://github.com/marioscrock,https://avatars.githubusercontent.com/u/5709852?v=4,1,2
JLLeitschuh,User,https://github.com/JLLeitschuh,https://avatars.githubusercontent.com/u/1323708?v=4,1,2
T-Hellmund,User,https://github.com/T-Hellmund,https://avatars.githubusercontent.com/u/42065061?v=4,1,2
Murloc6,User,https://github.com/Murloc6,https://avatars.githubusercontent.com/u/881739?v=4,1,2
BMI24,User,https://github.com/BMI24,https://avatars.githubusercontent.com/u/10518596?v=4,1,2
christophbrosch,User,https://github.com/christophbrosch,https://avatars.githubusercontent.com/u/44674265?v=4,1,2
Spothedog1,User,https://github.com/Spothedog1,https://avatars.githubusercontent.com/u/7429961?v=4,1,2
ershimen,User,https://github.com/ershimen,https://avatars.githubusercontent.com/u/50144994?v=4,1,2
pawelostr,User,https://github.com/pawelostr,https://avatars.githubusercontent.com/u/26488603?v=4,1,2
GenEars,User,https://github.com/GenEars,https://avatars.githubusercontent.com/u/7789198?v=4,1,2
Sergio-Carulli,User,https://github.com/Sergio-Carulli,https://avatars.githubusercontent.com/u/60430333?v=4,1,2
Anas-Elhounsri,User,https://github.com/Anas-Elhounsri,https://avatars.githubusercontent.com/u/71127394?v=4,1,2
EdmundoMori,User,https://github.com/EdmundoMori,https://avatars.githubusercontent.com/u/148738862?v=4,1,2
agbeltran,User,https://github.com/agbeltran,https://avatars.githubusercontent.com/u/1417033?v=4,1,1
telecsur,User,https://github.com/telecsur,https://avatars.githubusercontent.com/u/55853394?v=4,1,1
HanKruiger,User,https://github.com/HanKruiger,https://avatars.githubusercontent.com/u/2293252?v=4,1,1
jodischneider,User,https://github.com/jodischneider,https://avatars.githubusercontent.com/u/480102?v=4,1,1
lukaskabc,User,https://github.com/lukaskabc,https://avatars.githubusercontent.com/u/28897542?v=4,1,1
maximelefrancois86,User,https://github.com/maximelefrancois86,https://avatars.githubusercontent.com/u/11416248?v=4,1,1
ma-garcia,User,https://github.com/ma-garcia,https://avatars.githubusercontent.com/u/4291806?v=4,1,1
psiotwo,User,https://github.com/psiotwo,https://avatars.githubusercontent.com/u/1140626?v=4,1,1
Xiqinger,User,https://github.com/Xiqinger,https://avatars.githubusercontent.com/u/163422483?v=4,1,1
dporto-idearium,User,https://github.com/dporto-idearium,https://avatars.githubusercontent.com/u/309727384?v=4,1,1
engapa,User,https://github.com/engapa,https://avatars.githubusercontent.com/u/2376675?v=4,1,1
david-martinez-garcia,User,https://github.com/david-martinez-garcia,https://avatars.githubusercontent.com/u/94689492?v=4,1,1
DylanVanAssche,User,https://github.com/DylanVanAssche,https://avatars.githubusercontent.com/u/4999159?v=4,1,1
eltociear,User,https://github.com/eltociear,https://avatars.githubusercontent.com/u/22633385?v=4,1,1
janosmeszaros,User,https://github.com/janosmeszaros,https://avatars.githubusercontent.com/u/2004953?v=4,1,1
mabounassif,User,https://github.com/mabounassif,https://avatars.githubusercontent.com/u/573530?v=4,1,1
bollwyvl,User,https://github.com/bollwyvl,https://avatars.githubusercontent.com/u/45380?v=4,1,1
tobiaswjohn,User,https://github.com/tobiaswjohn,https://avatars.githubusercontent.com/u/34936267?v=4,1,1
redmer,User,https://github.com/redmer,https://avatars.githubusercontent.com/u/12477216?v=4,1,1
Juanmaa21,User,https://github.com/Juanmaa21,https://avatars.githubusercontent.com/u/125654554?v=4,1,1
emontiel,User,https://github.com/emontiel,https://avatars.githubusercontent.com/u/5487465?v=4,1,1
francoto,User,https://github.com/francoto,https://avatars.githubusercontent.com/u/23552862?v=4,1,1
louvetv,User,https://github.com/louvetv,https://avatars.githubusercontent.com/u/31949406?v=4,1,1
